Country Name,Female to male wage ratio in the private sector (using mean),Female to male wage ratio in the private sector (using median),Female to male wage ratio in the public sector (using mean),Female to male wage ratio in the public sector (using median),"Females, as a share of private paid employees","Females, as a share of private paid employees by occupational group: Clerks","Females, as a share of private paid employees by occupational group: Elementary occupation","Females, as a share of private paid employees by occupational group: Managers","Females, as a share of private paid employees by occupational group: Professionals","Females, as a share of private paid employees by occupational group: Technicians","Females, as a share of private paid employees by wage quintile: Quintile 1","Females, as a share of private paid employees by wage quintile: Quintile 2","Females, as a share of private paid employees by wage quintile: Quintile 3","Females, as a share of private paid employees by wage quintile: Quintile 4","Females, as a share of private paid employees by wage quintile: Quintile 5","Females, as a share of public paid employees","Females, as a share of public paid employees by industry: Core Public Administration","Females, as a share of public paid employees by industry: Education","Females, as a share of public paid employees by industry: Health","Females, as a share of public paid employees by industry: Public Administration","Females, as a share of public paid employees by industry: Public Safety","Females, as a share of public paid employees by industry: Social Security","Females, as a share of public paid employees by industry: Teachers","Females, as a share of public paid employees by occupation: Medical workers","Females, as a share of public paid employees by occupational group: Clerks","Females, as a share of public paid employees by occupational group: Elementary occupation","Females, as a share of public paid employees by occupational group: Managers","Females, as a share of public paid employees by occupational group: Professionals","Females, as a share of public paid employees by occupational group: Technicians","Females, as a share of public paid employees by wage quintile: Quintile 1","Females, as a share of public paid employees by wage quintile: Quintile 2","Females, as a share of public paid employees by wage quintile: Quintile 3","Females, as a share of public paid employees by wage quintile: Quintile 4","Females, as a share of public paid employees by wage quintile: Quintile 5","Gender wage premium in the private sector, by industry: Education (compared to male paid employees)","Gender wage premium in the private sector, by industry: Health (compared to male paid employees)","Gender wage premium in the private sector, by occupation: Medical workers (compared to male paid employees)","Gender wage premium in the private sector, by occupation: Teachers (compared to male paid employees)","Gender wage premium in the public sector, by industry: Core Public Administration (compared to male paid employees)","Gender wage premium in the public sector, by industry: Education (compared to male paid employees)","Gender wage premium in the public sector, by industry: Health (compared to male paid employees)","Gender wage premium in the public sector, by industry: Public Administration (compared to male paid employees)","Gender wage premium in the public sector, by industry: Public Safety (compared to male paid employees)","Gender wage premium in the public sector, by industry: Social Security (compared to male paid employees)","Public sector employment, as a share of paid employment by gender: Female","Public sector employment, as a share of paid employment by gender: male","Public sector employment, as a share of total employment by gender: Female","Public sector employment, as a share of total employment by gender: male","Public sector female employment, as a share of paid employment by industry: Education","Public sector female employment, as a share of paid employment by industry: Health","Public sector female employment, as a share of paid employment by occupation: Medical workers","Public sector female employment, as a share of paid employment by occupation: Teachers","Public sector female employment, as a share of paid employment by occupational group: Clerks","Public sector female employment, as a share of paid employment by occupational group: Elementary workers","Public sector female employment, as a share of paid employment by occupational group: Manager","Public sector female employment, as a share of paid employment by occupational group: Professionals","Public sector female employment, as a share of paid employment by occupational group: Technicians","Public sector wage premium for females, by industry: Education (compared to paid wage employees)","Public sector wage premium for females, by industry: Health (compared to paid wage employees)","Public sector wage premium for females, by occupation: Medical workers (compared to paid wage employees)","Public sector wage premium for females, by occupation: Teachers (compared to paid wage employees)","Public sector wage premium for males, by industry: Education (compared to paid wage employees)","Public sector wage premium for males, by industry: Health (compared to paid wage employees)","Public sector wage premium for males, by occupation: Medical workers (compared to paid wage employees)","Public sector wage premium for males, by occupation: Teachers (compared to paid wage employees)","Public sector wage premium, by gender: Female (compared to all private employees)","Public sector wage premium, by gender: Male (compared to all private employees)"
Argentina,0.683160603046417,0.639999985694885,0.850951790809631,0.862757682800293,0.42224708199501,,0.0980551838874817,0.372535943984985,0.413756340742111,0.553564488887787,0.697359800338745,0.488174855709076,0.348274141550064,0.296711653470993,0.266647517681122,0.54064279794693,0.9488528867562565,0.45637583732605,0.677163362503052,0.418880492448807,0.0449487293759993,0.1578662594159396,0.8878412197033754,-0.7752172152201524,,0.0376918576657772,0.485114425420761,0.527213871479034,0.675408601760864,0.603455901145935,0.607029497623444,0.521124958992004,0.473794132471085,0.431213527917862,-0.21709269285202,-0.177984446287155,-2.309303225328506,-2.309303225328506,-0.1725072031168588,-0.0913124680519104,-0.159521102905273,-0.177688628435135,-0.1647311528165311,-0.1895886484303108,0.28295835852623,0.19681504368782,0.225352510809898,0.141573578119278,0.664382934570313,0.416845798492432,-1.5872202229996333,0.1266994836429749,,0.016335466876626,0.332766056060791,0.579271912574768,0.515237987041473,0.0543185286223888,0.054419782012701,-2.309303225328506,-2.309303225328506,0.077443428337574,0.0491676218807697,-2.309303225328506,-2.309303225328506,0.410870254039764,0.0579986684024334
Bolivia,0.669310927391052,0.654349446296692,0.816169500350952,0.857142865657806,0.34090656042099,0.516727149486542,0.510985136032104,0.428346961736679,0.442358016967773,0.330228745937347,0.566336452960968,0.3733297651242289,0.281922906637192,0.203239947557449,0.17918236553669,0.502666115760803,0.368098368150715,0.5821300504968323,0.6792271801701784,0.3115501046064786,0.1399137500912708,,0.5660220837986643,0.590576161606112,0.59655487537384,0.58132392168045,0.325357794761658,0.602508127689362,0.431751906871796,0.651812016963959,0.522886574268341,0.489555954933167,0.491475701332092,0.355609804391861,-0.1916768596822882,-0.166601113627161,-0.100929282605648,0.3122874721884727,-0.1287625675173007,-0.1407840791727324,-0.1512946449596155,-0.1192498164621085,-0.2880765024992975,,0.346175163984299,0.213187783956528,0.110277108848095,0.0855522304773331,0.7933185578320279,0.6685885333597437,0.593654158682738,0.8251691688381211,0.372072368860245,0.150906801223755,0.354717165231705,0.748371422290802,0.414357244968414,0.1902856115353302,0.2654102023125588,0.3981297650525199,0.3600802882980289,0.1254812211436053,0.2049047813863143,0.41570055392026,0.1075287191757627,0.392959147691727,0.0958358645439148
Brazil,0.743196964263916,0.75,0.720375776290894,0.699999988079071,0.427264511585236,0.640223801136017,0.0150988223031163,0.401934921741486,0.524303317070007,0.382774710655212,0.567495882511139,0.507557570934296,0.423093944787979,0.306467413902283,0.276411801576614,0.592101454734802,,0.792793273925781,0.770893812179565,0.419296592473984,,,0.79879766702652,0.699527740478516,0.625155508518219,0.0206471420824528,0.476497828960419,0.741253018379211,0.664108633995056,0.66282731294632,0.669027209281921,0.619953453540802,0.549718260765076,0.446249693632126,-0.252716183662415,-0.252716183662415,-0.307294100522995,-0.293745458126068,-0.319965243339539,-0.198613777756691,-0.198613777756691,-0.319965243339539,-0.319965243339539,-0.319965243339539,0.231585204601288,0.134114116430283,0.16616652905941,0.0869739577174187,0.741662561893463,0.485120594501495,0.545983970165253,0.782376050949097,0.197540551424026,0.0316054075956345,0.232012033462524,0.623318791389465,0.487922966480255,0.0351307056844234,-0.252716183662415,0.172068417072296,0.0876587703824043,-0.0653601139783859,-0.252716183662415,0.0685790851712227,-0.0456262081861496,0.172534555196762,0.173582807183266
Chile,0.7620620787239996,0.7930528696307455,0.7910874595742232,0.826141815241396,0.4246371542983755,0.6380943142732249,0.49410937233002,0.3564525077628033,0.494013000815289,0.4854582741688062,0.5982491361979339,0.4246182276330206,0.4007783491700074,0.3254249253835353,0.3365526074161433,0.5552173316093558,0.4925181642174721,0.7333527802814057,0.7249227535214784,0.4049721853371295,0.2311876974999904,0.4649461507797241,0.7135908178470103,0.6566486907444791,0.7364691789104008,0.4873373105111014,0.295841038565744,0.6448362265534469,0.625257377141125,0.6572167912140046,0.5891866911208687,0.5192979014025756,0.560143889681779,0.4402479225580062,-0.1834429693566286,-0.2990866644798444,-0.2390736818489944,-0.1168467045689993,-0.1935316262145825,-0.0688990275699019,-0.2261142543906729,-0.2373650815813333,-0.1481318871180228,0.0929408284525052,0.1688158290874204,0.1066590104623871,0.1298526121633481,0.0792302472361357,0.382552519865531,0.4392863775768489,0.4345716608284808,0.4278446694672926,0.1661035713347058,0.0612720110683175,0.1779480160587674,0.3615826922193808,0.2932945201723491,-0.0196186665577968,0.0521529577221109,0.172347640144757,-0.0159348246872905,-0.1327995735236413,-0.0652249362780241,0.1468599340905996,-0.0801689638783749,0.1990871598074441,0.1483316223267978
Colombia,0.852265477180481,0.917117416858673,0.973768830299377,1.00209379196167,0.420954257249832,0.561441957950592,0.0916569754481316,0.592518746852875,0.472032070159912,0.581590592861176,0.554417133331299,0.406635940074921,0.423988610506058,0.35796320438385,0.361743956804276,0.489977806806564,,0.612453579902649,0.672800421714783,0.356073617935181,-0.3011751398444175,,,,0.645563781261444,0.0662856101989746,0.610703706741333,0.412968724966049,0.593730330467224,0.512386441230774,0.484909147024155,0.442742973566055,0.53670859336853,0.474109798669815,-0.248455569148064,-0.283701241016388,,,,-0.0306494552642107,-0.312507897615433,-0.109035737812519,-1.1083821095526218,-1.1083821095526218,0.0947801172733307,0.0734147429466248,0.0470397211611271,0.0351595394313335,0.477034747600555,0.106590315699577,,,0.0022682843264192,0.0100920777767897,0.473384499549866,0.0827760323882103,0.103248499333858,0.632673859596252,0.355432540178299,,,0.201715260744095,0.253390103578568,,,0.794745326042175,0.48647752404213
Costa Rica,0.7606865706916053,0.8189782065419724,0.9880428961671583,1.0752048298192864,0.3731953035433077,0.4948252531458426,0.408808045727385,0.2808414082498789,0.4601994707918422,0.3529042791420949,0.5958592373437384,0.3697592337053423,0.3239982260349459,0.2840448511770344,0.2851097879246964,0.5080776938424703,0.4350864951363054,0.6971859087643488,0.6081293289579297,0.4011668114208255,0.2382630818320397,0.5147916553836125,0.7303605919493759,0.5840929344184418,0.6356247274022317,0.4549000405210428,0.4459655703770726,0.6444901947399058,0.4547261044476025,0.4990065985879957,0.4352935593920399,0.4895684238773183,0.5499659557264454,0.4726793412535714,-0.1010396412686933,-0.2243247581204084,0.2233756281649128,0.3214565767675523,-0.0769574682380032,-0.1565855269291867,-0.1697830554482768,-0.0646189926815452,-0.0107695914734913,-0.1530391760464589,0.238503533244704,0.1536115911929085,0.1860337743862943,0.1129141511782385,0.7700806350735894,0.6359193155794962,0.5811117045413283,0.8037886223398658,0.2519003405735969,0.0548003586204597,0.4745603871325237,0.6694042469991324,0.302913284849458,0.4587765938497696,0.536705583237147,0.3187162900296485,0.4008727915010865,0.5173406673140164,0.45161309060801,0.5033679113254124,1.166533769993464,0.8880830823660943,0.4095360076108463
Dominican Republic,0.7882655657437141,0.7063762227622341,1.1829237225473932,1.240505282778237,0.4540469805435503,0.6556046915085162,0.5640017714105632,0.510098123689211,0.5935484525611461,0.4872130103900849,0.6741579965053379,0.5211412527246466,0.4079290751307169,0.3192506999477986,0.3345512185670163,0.5276689455047876,0.5100050177976243,0.7390511637255992,0.7478555271611412,0.383573051916775,0.3004592381109141,0.8709472344547038,0.7949809596030661,0.7474313507065915,0.737755594941345,0.5554918202669157,0.5144893891367239,0.7303636672425853,0.5749263586078858,0.4667222904038031,0.4716684636112589,0.4869439538844453,0.5965172419927427,0.6219571516807001,-0.355927746235972,-0.2381315444259968,0.227491642627541,-0.3506889882436868,-0.0997743571353488,-0.0659578804025891,-0.058142162655546,-0.0583260904490643,-0.1191940225286058,-1.9479886889457705,0.2441403711143932,0.1939150580823097,0.1640983360262073,0.0855657411688707,0.6193676776081851,0.5962115598500835,0.6775337856196793,0.7107173673499965,0.1806128131464248,0.1714348646331418,0.1871085908519347,0.6097464935437209,0.3118105435124647,0.4985072957076255,0.102403503649775,0.2464872241108366,0.8604003315648185,-0.1366887975734876,-0.1839821767943679,0.1742614549420977,-0.0461055826417435,0.1436027253996457,-0.215394033620953
Ecuador,0.888244092464447,0.897631049156189,0.895194530487061,1.0,0.319516390562058,0.534676611423492,0.315893620252609,0.504720032215118,0.445312887430191,0.483096718788147,0.381852835416794,0.357195526361465,0.351217716932297,0.274018943309784,0.228161990642548,0.439422369003296,0.414275661110878,0.610393471237439,0.64755791425705,0.2852277626742161,0.1287182569503784,0.7489765286445618,0.669737875461578,0.66709566116333,0.588769793510437,0.194409266114235,0.363294094800949,0.545510590076447,0.658312678337097,0.478326946496964,0.428215503692627,0.504485607147217,0.450755089521408,0.328048408031464,-0.237764999270439,-0.180330976843834,-0.295819610357285,-0.129495918750763,-0.077663566917181,-0.165002316236496,-0.110255189239979,-0.1603888340294361,-0.1005783751606941,-0.0276206359267234,0.21504108607769,0.14096587896347,0.104581534862518,0.0881464406847954,0.789612293243408,0.641258895397186,0.773349702358246,0.737188160419464,0.231784701347351,0.0293716471642256,0.0482039488852024,0.646761894226074,0.541094839572906,0.583425939083099,0.363533943891525,0.379862427711487,0.305559158325195,0.41996431350708,0.212815672159195,0.139507234096527,0.241520941257477,0.47245466709137,0.484353870153427
Guatemala,0.8598473981063215,0.8457933810102904,0.8871390919294457,0.947807689507802,0.2805759899903766,0.4462707533140166,0.2462118244893991,0.3002369203339747,0.4862687280426829,0.4114709260865936,0.4110521325250953,0.2345371822697841,0.229237237859385,0.2623831187766097,0.24525678184055,0.4740465077442852,,0.6410780203092337,0.6370098387802043,0.2815645620688318,,,,,0.5205481581612004,0.2910191107208177,0.3010132209650728,0.6139522195266203,0.4776208853243178,0.4773457147241622,0.5135103312692024,0.5447386159362182,0.4506465914257396,0.3803785971206874,-0.1687160646701071,-0.230239628882078,,,-0.0910704348119004,-0.0715025786038765,-0.1375328629062728,-0.1323260226743771,-0.0910704348119004,-0.0910704348119004,0.1568587357556916,0.0743427309472628,0.0786816459881061,0.0465390351916433,0.6159205839529136,0.4617146973783798,,,0.1719778441195565,0.0222079325192872,0.2103113540344772,0.6160191116011582,0.2813282121568523,0.5919562824718057,0.2019215241208556,,,0.4838003215419988,0.1571073427751703,,,0.5788653800238741,0.3651404005139671
Honduras,1.06574273109436,1.08333337306976,1.01001489162445,1.0,0.306811302900314,0.590069651603699,0.272066950798035,0.371767282485962,0.46031928062439,0.441629260778427,0.248966947197914,0.293484956026077,0.333410292863846,0.360232889652252,0.304847925901413,0.568130612373352,0.53301614522934,0.679227113723755,0.743509888648987,0.458348661661148,0.260975480079651,0.331076920032501,0.609878778457642,0.553201198577881,0.877558529376984,0.253689646720886,0.500610291957855,0.58051997423172,0.7314532995224,0.598908960819244,0.530502259731293,0.485561490058899,0.600799202919006,0.623211085796356,-0.24162183701992,-0.221790641546249,-0.6096835086742942,-0.1641124998230818,-0.0100561510771513,-0.133022651076317,-0.0843610167503357,-0.0885818302631378,-0.0045046210289001,-0.911995840346748,0.213245332241058,0.0835723429918289,0.0922810211777687,0.0420688167214394,0.695176839828491,0.729787766933441,0.754975140094757,0.686929941177368,0.395433962345123,0.0343795530498028,0.29670712351799,0.525800466537476,0.569244146347046,0.501049339771271,0.418640971183777,-0.2115848653018446,0.256554543972015,0.425707191228867,0.181382313370705,-0.6096835086742942,0.834635019302368,0.395626276731491,0.543572127819061
